Found total 1983 regions
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11261,2011-08-05,A,380,19,Dai,&beta;&gamma;&delta;,3,0,0,6,
11261,2011-08-06,A,270,12,Dsi,&beta;&gamma;,0,0,0,0,
11261,2011-08-07,A,150,8,Dso,&beta;,0,0,0,0,
11261,2011-08-08,A,90,6,Cso,&beta;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11263,2011-07-29,A,260,3,Dho,&beta;,2,0,0,2,
11263,2011-07-30,A,310,5,Dho,&beta;,0,0,0,2,
11263,2011-07-31,A,470,12,Dhi,&beta;,3,0,0,5,
11263,2011-08-01,A,460,17,Dki,&beta;,1,0,0,1,
11263,2011-08-02,A,460,23,Dki,&beta;&gamma;&delta;,2,0,0,4,
11263,2011-08-03,A,560,25,Eki,&beta;&gamma;&delta;,2,1,0,3,
11263,2011-08-04,A,600,16,Dki,&beta;&gamma;&delta;,3,0,0,4,
11263,2011-08-05,A,720,17,Ekc,&beta;&gamma;&delta;,2,0,0,2,
11263,2011-08-06,A,570,20,Ekc,&beta;&gamma;&delta;,3,0,0,5,
11263,2011-08-07,A,440,23,Ekc,&beta;&gamma;&delta;,6,0,0,10,
11263,2011-08-08,A,510,27,Ekc,&beta;&gamma;&delta;,4,1,0,11,
11263,2011-08-09,A,450,13,Ekc,&beta;&gamma;&delta;,5,1,1,8,
11263,2011-08-10,A,340,8,Ehc,&beta;&gamma;&delta;,5,0,0,8,
11263,2011-08-11,A,230,4,Eso,&beta;&gamma;,2,0,0,3,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11271,2011-08-14,,,,,,0,0,0,3,
11271,2011-08-15,,,,,,2,0,0,6,
11271,2011-08-16,A,120,3,Dso,&beta;,0,0,0,0,
11271,2011-08-17,A,240,4,Dsi,&beta;,1,0,0,4,
11271,2011-08-18,A,240,9,Esi,&beta;&gamma;&delta;,2,0,0,5,
11271,2011-08-19,A,290,16,Ehc,&beta;,0,0,0,1,
11271,2011-08-20,A,240,12,Esi,&beta;&gamma;,1,0,0,9,
11271,2011-08-21,A,260,22,Dho,&beta;,0,0,0,1,
11271,2011-08-22,A,240,15,Eao,&beta;,1,0,0,10,
11271,2011-08-23,A,280,28,Ekc,&beta;&gamma;,0,0,0,4,
11271,2011-08-24,A,270,21,Eki,&beta;,1,0,0,8,
11271,2011-08-25,A,180,25,Esi,&beta;,0,0,0,6,
11271,2011-08-26,A,140,15,Esi,&beta;&delta;,2,0,0,12,
11271,2011-08-27,A,80,6,Dso,&beta;,0,0,0,2,
11271,2011-08-28,A,60,4,Cso,&beta;,0,0,0,1,
11271,2011-08-29,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11283,2011-08-29,,,,,,3,0,0,5,
11283,2011-08-30,,,,,,1,0,0,2,
11283,2011-08-31,A,60,1,Hsx,&alpha;,1,0,0,2,
11283,2011-09-01,A,100,2,Cso,&beta;,2,0,0,4,
11283,2011-09-02,A,200,10,Cso,&beta;,0,0,0,2,
11283,2011-09-03,A,200,11,Dso,&beta;,0,0,0,0,
11283,2011-09-04,A,220,21,Dsi,&beta;,0,0,0,0,
11283,2011-09-05,A,190,21,Dai,&beta;,0,0,0,0,
11283,2011-09-06,A,220,29,Eai,&beta;&gamma;,1,1,1,3,
11283,2011-09-07,A,200,23,Eai,&beta;&gamma;&delta;,2,0,1,5,
11283,2011-09-08,A,230,14,Dai,&beta;&gamma;&delta;,3,1,0,4,
11283,2011-09-09,A,200,12,Cao,&beta;&gamma;&delta;,2,2,0,5,
11283,2011-09-10,A,210,12,Eao,&beta;&gamma;,0,1,0,1,
11283,2011-09-11,A,200,7,Dso,&beta;&gamma;,5,0,0,6,
11283,2011-09-12,A,140,2,Dso,&beta;&gamma;,1,0,0,1,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11286,2011-08-28,,,,,,0,0,0,1,
11286,2011-08-29,,,,,,0,0,0,0,
11286,2011-08-30,,,,,,0,0,0,0,
11286,2011-08-31,,,,,,0,0,0,1,
11286,2011-09-01,,,,,,0,0,0,0,
11286,2011-09-02,,,,,,0,0,0,0,
11286,2011-09-03,,,,,,0,0,0,0,
11286,2011-09-04,A,80,8,Dso,&beta;,1,0,0,1,
11286,2011-09-05,A,80,6,Cso,&beta;,3,2,0,5,
11286,2011-09-06,P,,0,,,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11289,2011-09-07,A,190,1,Hsx,&alpha;,0,0,0,2,
11289,2011-09-08,A,280,3,Cho,&beta;,1,0,0,1,
11289,2011-09-09,A,370,4,Cho,&beta;,0,0,0,1,
11289,2011-09-10,A,380,6,Dho,&beta;,1,0,0,3,
11289,2011-09-11,A,450,11,Dho,&beta;,1,0,0,1,
11289,2011-09-12,A,430,16,Dko,&beta;,0,0,0,0,
11289,2011-09-13,A,300,6,Cko,&beta;,0,0,0,0,
11289,2011-09-14,A,350,10,Cko,&beta;,0,0,0,0,
11289,2011-09-15,A,400,9,Cho,&beta;,0,0,0,0,
11289,2011-09-16,A,300,5,Cho,&beta;,2,0,0,2,
11289,2011-09-17,A,310,5,Cko,&beta;,0,0,0,0,
11289,2011-09-18,A,380,5,Hhx,&alpha;,0,0,0,0,
11289,2011-09-19,A,310,4,Hhx,&alpha;,0,0,0,0,
11289,2011-09-20,A,120,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11302,2011-09-21,,,,,,3,1,0,4,
11302,2011-09-22,,,,,,2,0,0,2,
11302,2011-09-23,A,480,2,Eki,&beta;&gamma;,2,2,0,4,
11302,2011-09-24,A,840,10,Ekc,&beta;&gamma;,1,5,1,7,
11302,2011-09-25,A,1300,12,Fkc,&beta;&gamma;&delta;,2,4,0,6,
11302,2011-09-26,A,980,18,Ekc,&beta;&gamma;&delta;,8,2,0,10,
11302,2011-09-27,A,950,25,Ekc,&beta;&gamma;,8,0,0,10,
11302,2011-09-28,A,980,26,Fkc,&beta;&gamma;&delta;,4,1,0,7,
11302,2011-09-29,A,1070,37,Fkc,&beta;&gamma;&delta;,2,0,0,3,
11302,2011-09-30,A,750,23,Fkc,&beta;&gamma;&delta;,2,0,0,3,
11302,2011-10-01,A,750,25,Fkc,&beta;&gamma;&delta;,2,0,0,2,
11302,2011-10-02,A,700,16,Fkc,&beta;&gamma;&delta;,3,1,0,6,
11302,2011-10-03,A,410,14,Fkc,&beta;&gamma;&delta;,2,0,0,5,
11302,2011-10-04,A,320,10,Fko,&beta;,1,0,0,2,
11302,2011-10-05,A,240,7,Dso,&beta;,1,0,0,1,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11303,2011-09-24,,,,,,0,2,0,2,
11303,2011-09-25,A,30,1,Csi,&beta;,0,1,0,1,
11303,2011-09-26,A,70,6,Cso,&beta;,0,0,0,0,
11303,2011-09-27,A,60,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11305,2011-09-23,,,,,,2,0,0,2,
11305,2011-09-24,,,,,,0,0,0,0,
11305,2011-09-25,,,,,,0,0,0,0,
11305,2011-09-26,A,60,1,Hsx,&alpha;,0,0,0,0,
11305,2011-09-27,A,80,2,Cso,&beta;,0,0,0,0,
11305,2011-09-28,A,80,1,Hsx,&alpha;,0,0,0,0,
11305,2011-09-29,A,60,5,Hsx,&alpha;,2,0,0,2,
11305,2011-09-30,A,100,8,Cso,&beta;&gamma;,1,1,0,3,
11305,2011-10-01,A,130,9,Dso,&beta;&gamma;,2,1,0,3,
11305,2011-10-02,A,170,14,Dso,&beta;&gamma;,1,1,0,3,
11305,2011-10-03,A,190,9,Dsi,&beta;&gamma;,0,0,0,0,
11305,2011-10-04,A,250,10,Chi,&beta;,0,0,0,0,
11305,2011-10-05,A,190,10,Csi,&beta;,0,0,0,0,
11305,2011-10-06,A,250,4,Cho,&beta;,1,0,0,4,
11305,2011-10-07,A,220,3,Cso,&beta;,2,0,0,4,
11305,2011-10-08,A,180,1,Hsx,&alpha;,0,0,0,0,
AR,DATE,TYP,AREA,NSPOT,ZMCINT,MCLASS,C,M,X,TOTAL,SMON
11319,2011-10-09,,,,,,0,0,0,1,
11319,2011-10-10,,,,,,1,0,0,2,
11319,2011-10-11,,,,,,0,0,0,0,
11319,2011-10-12,,,,,,8,0,0,9,
11319,2011-10-13,A,30,11,Dai,&beta;,4,0,0,4,
11319,2011-10-14,A,80,11,Cso,&beta;,3,0,0,3,
11319,2011-10-15,A,80,20,Esi,&beta;,5,0,0,5,
11319,2011-10-16,A,240,30,Eai,&beta;,7,0,0,7,
